Date,Close
4/8/2016,70.76
4/11/2016,70.7
4/12/2016,72.22
4/13/2016,73.73
4/14/2016,74.71
4/15/2016,75
4/18/2016,74.18
4/19/2016,74.7
4/20/2016,74.55
4/21/2016,75.48
4/22/2016,75.04
4/26/2016,75.62
4/27/2016,73.76
4/28/2016,73.85
4/29/2016,73.89
5/2/2016,72.34
5/3/2016,75.02
5/4/2016,74.61
5/5/2016,74.85
5/6/2016,74.35
5/9/2016,75.78
5/10/2016,78
5/11/2016,77.99
5/12/2016,78.24
5/13/2016,77.39
5/16/2016,78
5/17/2016,78.7
5/18/2016,77.62
5/19/2016,77.76
5/20/2016,78.12
5/23/2016,77.96
5/24/2016,77.56
5/25/2016,78.39
5/26/2016,78.59
5/27/2016,78.9
5/30/2016,78.18
5/31/2016,77.43
6/1/2016,76.5
6/2/2016,75.58
6/3/2016,75.75
6/6/2016,76.6
6/7/2016,77.34
6/8/2016,76.99
6/9/2016,76.3
6/10/2016,75.49
6/14/2016,73.52
6/15/2016,72.2
6/16/2016,71.8
6/17/2016,72.03
6/20/2016,74.2
6/21/2016,75.08
6/22/2016,75.07
6/23/2016,75.02
6/24/2016,72.57
6/27/2016,72.8
6/28/2016,73.1
6/29/2016,73.46
6/30/2016,74.37
7/1/2016,73.83
7/4/2016,73.38
7/5/2016,72.56
7/6/2016,71.97
7/7/2016,72.5
7/8/2016,72.41
7/11/2016,74.1
7/12/2016,74.5
7/13/2016,74.89
7/14/2016,75.61
7/15/2016,75.94
7/18/2016,76.1
7/19/2016,76.02
7/20/2016,76.76
7/21/2016,77.03
7/22/2016,77.14
7/25/2016,77.55
7/26/2016,78
7/27/2016,77.94
7/28/2016,77.8
7/29/2016,77.35
8/1/2016,77.98
8/2/2016,77.59
8/3/2016,76.03
8/4/2016,75.66
8/5/2016,76.15
8/8/2016,77.2
8/9/2016,78.41
8/10/2016,77.4
8/11/2016,75.95
8/12/2016,76.01
8/15/2016,76.3
8/16/2016,76
8/17/2016,74.04
8/18/2016,73.12
8/19/2016,73.45
8/22/2016,73.12
8/23/2016,73.85
8/24/2016,74.46
8/25/2016,74
8/26/2016,73.26
8/29/2016,72.64
8/30/2016,72.9
8/31/2016,71.81
9/1/2016,71.51
9/2/2016,70.91
9/5/2016,72.31
9/6/2016,71.76
9/7/2016,72.56
9/8/2016,72.06
9/9/2016,70.87
9/12/2016,70.22
9/13/2016,69.5
9/14/2016,70.16
9/15/2016,71.5
9/16/2016,72.24
9/19/2016,72.21
9/20/2016,72.62
9/21/2016,72.89
9/22/2016,72.88
9/23/2016,73.4
9/26/2016,73.4
9/27/2016,72.7
9/28/2016,72.93
9/29/2016,73.5
9/30/2016,72.4
10/3/2016,73.5
10/4/2016,73.3
10/5/2016,73.59
10/6/2016,74.16
10/7/2016,74.38
10/10/2016,74.62
10/11/2016,74.61
10/12/2016,74.99
10/13/2016,74.53
10/14/2016,74.58
10/17/2016,74.37
10/18/2016,74.59
10/19/2016,74.74
10/20/2016,74.59
10/21/2016,74.9
10/24/2016,74.67
10/25/2016,75.23
10/26/2016,74.19
10/27/2016,72.99
10/28/2016,72.75
10/31/2016,73.39
11/1/2016,72.76
11/2/2016,72.17
11/3/2016,71.61
11/4/2016,70.99
11/7/2016,72.53
11/8/2016,72.07
11/9/2016,70.89
11/10/2016,73.26
11/11/2016,75.78
11/14/2016,76.18
11/15/2016,76.43
11/16/2016,76.89
11/17/2016,76.65
11/18/2016,76.86
11/21/2016,76.87
11/22/2016,77.39
11/23/2016,78.42
11/24/2016,78.43
11/25/2016,78.17
11/28/2016,77.29
11/29/2016,77.76
11/30/2016,78.65
12/1/2016,79.53
12/2/2016,78.6
12/5/2016,77.68
12/6/2016,78.01
12/7/2016,79.3
12/8/2016,79.73
12/9/2016,80.67
12/12/2016,80.92
12/13/2016,80.38
12/14/2016,81.18
12/15/2016,80.64
12/16/2016,81.06
12/19/2016,81.43
12/20/2016,82.27
12/21/2016,82.09
12/22/2016,82.69
12/23/2016,82.5
12/28/2016,83.31
12/29/2016,83.5
12/30/2016,82.41
1/3/2017,82.97
1/4/2017,83.61
1/5/2017,83.85
1/6/2017,84.13
1/9/2017,85.26
1/10/2017,84.82
1/11/2017,85
1/12/2017,85.03
1/13/2017,83.86
1/16/2017,84.09
1/17/2017,83.35
1/18/2017,82.66
1/19/2017,82.67
1/20/2017,81.58
1/23/2017,81.47
1/24/2017,81.77
1/25/2017,82.23
1/27/2017,82.98
1/30/2017,82.19
1/31/2017,81.66
2/1/2017,82.02
2/2/2017,82.01
2/3/2017,81.68
2/6/2017,81.91
2/7/2017,81.51
2/8/2017,82.35
2/9/2017,81.93
2/10/2017,82.9
2/13/2017,83.15
2/14/2017,82.63
2/15/2017,84.53
2/16/2017,85.08
2/17/2017,85.39
2/20/2017,85.91
2/21/2017,85.94
2/22/2017,83.71
2/23/2017,83.48
2/24/2017,83.02
2/27/2017,82.24
2/28/2017,82.32
3/1/2017,82.81
3/2/2017,83.86
3/3/2017,83.2
3/6/2017,83.5
3/7/2017,83.54
3/8/2017,83.23
3/9/2017,83.53
3/10/2017,84.5
3/13/2017,84.3
3/14/2017,84.49
3/15/2017,84.82
3/16/2017,84.54
3/17/2017,84.77
3/20/2017,84.43
3/21/2017,84.42
3/22/2017,82.71
3/23/2017,82.95
3/24/2017,83.38
3/27/2017,83.4
3/28/2017,85.26
3/29/2017,86.14
3/30/2017,86.52
3/31/2017,85.91
4/3/2017,86.39
4/4/2017,85.93
4/5/2017,85.99
4/6/2017,84.79
4/7/2017,84.77
4/10/2017,85.49
4/11/2017,86.1
4/12/2017,86.68
4/13/2017,86.25
4/18/2017,85.51
4/19/2017,84.62
4/20/2017,85.13
4/21/2017,85.64
4/24/2017,86.23
4/26/2017,87.11
4/27/2017,87.66
4/28/2017,87.4
5/1/2017,87.46
5/2/2017,86.83
5/3/2017,85.35
5/4/2017,84.63
5/5/2017,84.4
5/8/2017,85.3
5/9/2017,82.02
5/10/2017,81.73
5/11/2017,82.07
5/12/2017,81.67
5/15/2017,82.24
5/16/2017,82.61
5/17/2017,80.97
5/18/2017,80.81
5/19/2017,80.23
5/22/2017,81.27
5/23/2017,80.94
5/24/2017,81
5/25/2017,81.26
5/26/2017,80.14
5/29/2017,78.89
5/30/2017,79.44
5/31/2017,79.65
6/1/2017,79.62
6/2/2017,80.38
6/5/2017,79.31
6/6/2017,78.15
6/7/2017,78.5
6/8/2017,79.05
6/9/2017,79.19
6/13/2017,81.13
6/14/2017,82.3
6/15/2017,81.7
6/16/2017,81.86
6/19/2017,82.79
6/20/2017,82.24
6/21/2017,80.8
6/22/2017,81.88
6/23/2017,81.25
6/26/2017,81.55
6/27/2017,82.08
6/28/2017,82.71
6/29/2017,84.02
6/30/2017,82.81
7/3/2017,82.44
7/4/2017,84
7/5/2017,83.64
7/6/2017,83.01
7/7/2017,82.13
7/10/2017,82.81
7/11/2017,82.94
7/12/2017,82.12
7/13/2017,82.56
7/14/2017,83.12
7/17/2017,82.94
7/18/2017,81.4
7/19/2017,83.81
7/20/2017,84.56
7/21/2017,83.97
7/24/2017,83.57
7/25/2017,84.28
7/26/2017,84.81
7/27/2017,85.05
7/28/2017,83.76
7/31/2017,83.73
8/1/2017,84.54
8/2/2017,84.23
8/3/2017,83.97
8/4/2017,80.72
8/7/2017,81.52
8/8/2017,80.65
8/9/2017,81.11
8/10/2017,81.05
8/11/2017,80.5
8/14/2017,81.31
8/15/2017,81.25
8/16/2017,79.84
